FSR_0,FSR_1,FSR_2,FSR_3,FSR_4,FSR_5,FSR_6,FSR_7,Swing time(s),Stride time(s),Swing percentage(%),Stride percentage(%),averageXAngleChange,뇌졸증 여부,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,226.62,0,463.28,246.7,3904.2,2211.71,0,0,0,0,0,-2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,517.79,223.75,2799.78,1232.08,0,0,0,0,0,33.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973.9,3296.05,1860.31,2867.19,296.9,0,0,0,6153,0,0,0,-14.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,152.04,0,2568.86,2099.84,226.89,6153,1028,85.68,14.32,-24.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,236.66,0,421.69,358.58,3413.67,2839.94,0,6153,1028,85.68,14.32,7.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763.05,2175.85,1619.34,1810.1,0,0,0,0,2079,1028,66.91,33.09,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,210.84,0,295.47,0,2805.52,2195.93,110.71,2079,1043,66.59,33.41,-3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356.86,3570.01,2716.59,2445.51,0,0,0,0,1026,1043,49.59,50.41,-9.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,480.5,0,764.49,243.83,0,1026,1037,49.73,50.27,13.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880.39,3798.06,3225.77,737.24,0,0,0,0,1036,1037,49.98,50.02,-2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,467.59,0,975.33,512.05,0,1036,1039,49.93,50.07,33.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2074.02,4381.83,2531.56,2887.27,185.03,0,0,0,1025,1039,49.66,50.34,-14.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,154.91,0,245.27,0,2974.77,1701.1,176.69,1025,1037,49.71,50.29,-24.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,223.75,0,276.82,0,1939.19,357.14,0,1025,1037,49.71,50.29,7.18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831.9,3461,2495.71,3392.15,1431.45,708.55,0,0,2068,1037,66.6,33.4,0.35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,261.05,0,0,0,0,2068,1027,66.82,33.18,-3.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2560.25,3679.01,2969.03,1100.12,0,0,0,0,1028,1027,50.02,49.98,-9.36,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,179.29,0,252.44,0,0,0,0,1028,1038,49.76,50.24,7.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904.77,3516.94,3495.42,724.33,0,0,0,0,1040,1038,50.05,49.95,78.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,393,0,1038.44,285.43,0,1040,1024,50.39,49.61,-31.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642.29,2705.12,3161.23,464.72,0,0,0,0,1023,1024,49.98,50.02,20.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,339.93,0,2984.81,1873.21,0,1023,1039,49.61,50.39,-58.33,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
506.31,1632.25,867.76,2178.72,1259.33,3188.48,1399.89,0,1028,1039,49.73,50.27,-40.95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469.02,1650.9,1503.16,1812.97,689.9,2343.67,632.53,0,1028,1039,49.73,50.27,21.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,106.14,0,1252.16,342.8,0,1028,2074,33.14,66.86,7.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2147.17,3265.93,608.15,1167.53,0,0,0,0,1028,2074,33.14,66.86,2.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,248.14,0,411.65,0,347.1,354.28,0,1028,1034,49.85,50.15,29.28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2132.82,2243.27,3323.31,357.14,0,0,0,0,1038,1034,50.1,49.9,39.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,371.49,0,837.64,469.02,0,1038,1043,49.88,50.12,-60.79,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105.86,3286.01,2540.17,1399.89,0,0,0,0,1025,1043,49.56,50.44,22.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,692.77,567.99,949.52,595.24,2623.36,1044.18,0,1025,1039,49.66,50.34,-24.78,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,173.55,0,281.13,0,2216.01,864.89,0,1025,1039,49.66,50.34,-6.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200.52,2675,2857.15,506.31,0,0,0,0,2063,1039,66.51,33.49,-40.89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,380.09,0,903.62,332.76,0,2063,1023,66.85,33.15,50.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,433.16,0,520.66,176.42,3389.28,2005.17,0,2063,1023,66.85,33.15,2.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1623.64,4185.33,2913.09,2025.25,0,0,0,0,2054,1023,66.75,33.25,-4.44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,219.45,0,566.55,0,1507.46,721.46,0,2054,1013,66.97,33.03,1.98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,212.28,0,147.73,0,2921.7,1623.64,0,2054,1013,66.97,33.03,-2.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
